Código UC,Nome da UC,Municípios Abrangidos
0000.00.1409,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PANEMA,SÃO SEBASTIÃO DO PASSÉ (BA)
0000.00.1412,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SALTO APEPIQUE,ILHÉUS (BA)
0000.00.1413,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ARAÇARI,ITACARÉ (BA)
0000.00.1416,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ÁGUA BRANCA,VALENÇA (BA)
0000.00.1418,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA COQUEIROS,SIMÕES FILHO (BA)
0000.00.1419,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ECOPARQUE DE UNA,UNA (BA)
0000.00.1420,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DAS DUNAS,CAMAÇARI (BA)
0000.00.1425,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ARARAUNA,UNA (BA)
0000.00.1426,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LAGOA DO PEIXE,CARAVELAS (BA)
0000.00.1427,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JUERANA,MARAÚ (BA)
0000.00.1428,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PARAÍSO,URUÇUCA (BA)
0000.00.1429,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SÃO JOÃO,ILHÉUS (BA)
0000.00.1430,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DO SABIÁ,ITACARÉ (BA)
0000.00.1431,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CARROULA,PRADO (BA)
0000.00.1432,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AGDA,POJUCA (BA)
0000.00.1433,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MÃE DA MATA,ILHÉUS (BA)
0000.00.1434,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA ARTE VERDE,ILHÉUS (BA)
0000.00.1435,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DA MATA ATLÂNTICA DA MANONA,PORTO SEGURO (BA)
0000.00.1438,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA SOSSEGO,URUÇUCA (BA)
0000.00.1441,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RETIRO PARAÍSO,MACAPÁ (AP)
0000.00.1443,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LOTE URBANO,SANTANA (AP)
0000.00.1444,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ALDEIA EKINOX,MACAPÁ (AP)
0000.00.1460,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SANTA TEREZA,ATALAIA (AL)
